,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
84,2015,1,Aguascalientes,1001,Aguascalientes,Otros delitos contra la familia,0,0,0,0,6,6,5,11.0,10.0,3.0,7.0,9.0
182,2015,1,Aguascalientes,1002,Asientos,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
280,2015,1,Aguascalientes,1003,Calvillo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0
378,2015,1,Aguascalientes,1004,Cosío,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
476,2015,1,Aguascalientes,1005,Jesús María,Otros delitos contra la familia,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
574,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
672,2015,1,Aguascalientes,1007,Rincón de Romos,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
770,2015,1,Aguascalientes,1008,San José de Gracia,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
868,2015,1,Aguascalientes,1009,Tepezalá,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
966,2015,1,Aguascalientes,1010,El Llano,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1064,2015,1,Aguascalientes,1011,San Francisco de los Romo,Otros delitos contra la familia,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0
1162,2015,2,Baja California,2001,Ensenada,Otros delitos contra la familia,6,4,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0
1260,2015,2,Baja California,2002,Mexicali,Otros delitos contra la familia,9,3,17,10,0,0,0,0.0,0.0,0.0,0.0,2.0
1358,2015,2,Baja California,2003,Tecate,Otros delitos contra la familia,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0
1456,2015,2,Baja California,2004,Tijuana,Otros delitos contra la familia,10,11,15,10,0,0,0,0.0,0.0,0.0,0.0,0.0
1554,2015,2,Baja California,2005,Playas de Rosarito,Otros delitos contra la familia,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1652,2015,3,Baja California Sur,3001,Comondú,Otros delitos contra la familia,0,0,0,0,1,0,1,0.0,4.0,0.0,1.0,0.0
1750,2015,3,Baja California Sur,3002,Mulegé,Otros delitos contra la familia,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.0
1848,2015,3,Baja California Sur,3003,La Paz,Otros delitos contra la familia,0,0,0,0,8,6,1,1.0,4.0,3.0,3.0,0.0
1946,2015,3,Baja California Sur,3008,Los Cabos,Otros delitos contra la familia,0,0,0,0,2,3,2,2.0,3.0,1.0,3.0,2.0
2044,2015,3,Baja California Sur,3009,Loreto,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2142,2015,4,Campeche,4001,Calkiní,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2240,2015,4,Campeche,4002,Campeche,Otros delitos contra la familia,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
2338,2015,4,Campeche,4003,Carmen,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2436,2015,4,Campeche,4004,Champotón,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2534,2015,4,Campeche,4005,Hecelchakán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2632,2015,4,Campeche,4006,Hopelchén,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2730,2015,4,Campeche,4007,Palizada,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2828,2015,4,Campeche,4008,Tenabo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2926,2015,4,Campeche,4009,Escárcega,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3024,2015,4,Campeche,4010,Calakmul,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3122,2015,4,Campeche,4011,Candelaria,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3220,2015,5,Coahuila de Zaragoza,5001,Abasolo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3318,2015,5,Coahuila de Zaragoza,5002,Acuña,Otros delitos contra la familia,1,0,2,4,4,4,4,5.0,3.0,2.0,3.0,2.0
3416,2015,5,Coahuila de Zaragoza,5003,Allende,Otros delitos contra la familia,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,1.0
3514,2015,5,Coahuila de Zaragoza,5004,Arteaga,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0
3612,2015,5,Coahuila de Zaragoza,5005,Candela,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3710,2015,5,Coahuila de Zaragoza,5006,Castaños,Otros delitos contra la familia,0,0,2,0,0,1,1,0.0,0.0,0.0,1.0,0.0
3808,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Otros delitos contra la familia,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0
3906,2015,5,Coahuila de Zaragoza,5008,Escobedo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4004,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Otros delitos contra la familia,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0
4102,2015,5,Coahuila de Zaragoza,5010,Frontera,Otros delitos contra la familia,0,1,0,1,1,1,2,2.0,4.0,0.0,2.0,0.0
4200,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4298,2015,5,Coahuila de Zaragoza,5012,Guerrero,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4396,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4494,2015,5,Coahuila de Zaragoza,5014,Jiménez,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4592,2015,5,Coahuila de Zaragoza,5015,Juárez,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4690,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4788,2015,5,Coahuila de Zaragoza,5017,Matamoros,Otros delitos contra la familia,1,0,0,0,0,2,1,0.0,1.0,0.0,0.0,0.0
4886,2015,5,Coahuila de Zaragoza,5018,Monclova,Otros delitos contra la familia,7,4,2,3,2,4,2,2.0,2.0,1.0,1.0,3.0
4984,2015,5,Coahuila de Zaragoza,5019,Morelos,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5082,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Otros delitos contra la familia,2,0,1,1,0,0,0,0.0,3.0,1.0,0.0,1.0
5180,2015,5,Coahuila de Zaragoza,5021,Nadadores,Otros delitos contra la familia,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5278,2015,5,Coahuila de Zaragoza,5022,Nava,Otros delitos contra la familia,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
5376,2015,5,Coahuila de Zaragoza,5023,Ocampo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5474,2015,5,Coahuila de Zaragoza,5024,Parras,Otros delitos contra la familia,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
5572,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Otros delitos contra la familia,0,2,3,1,0,1,0,0.0,2.0,2.0,1.0,2.0
5670,2015,5,Coahuila de Zaragoza,5026,Progreso,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5768,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Otros delitos contra la familia,0,0,0,0,0,1,2,2.0,2.0,0.0,0.0,0.0
5866,2015,5,Coahuila de Zaragoza,5028,Sabinas,Otros delitos contra la familia,1,0,0,0,0,1,4,0.0,1.0,0.0,1.0,1.0
5964,2015,5,Coahuila de Zaragoza,5029,Sacramento,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6062,2015,5,Coahuila de Zaragoza,5030,Saltillo,Otros delitos contra la familia,8,5,4,11,5,5,5,4.0,5.0,5.0,4.0,7.0
6160,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Otros delitos contra la familia,0,0,0,0,0,1,2,0.0,1.0,0.0,1.0,0.0
6258,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Otros delitos contra la familia,0,2,1,1,3,0,1,1.0,0.0,0.0,0.0,0.0
6356,2015,5,Coahuila de Zaragoza,5033,San Pedro,Otros delitos contra la familia,4,1,1,2,0,0,0,2.0,1.0,0.0,0.0,0.0
6454,2015,5,Coahuila de Zaragoza,5034,Sierra Mojada,Otros delitos contra la familia,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6552,2015,5,Coahuila de Zaragoza,5035,Torreón,Otros delitos contra la familia,3,0,0,2,1,5,1,0.0,2.0,3.0,0.0,3.0
6650,2015,5,Coahuila de Zaragoza,5036,Viesca,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6748,2015,5,Coahuila de Zaragoza,5037,Villa Unión,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6846,2015,5,Coahuila de Zaragoza,5038,Zaragoza,Otros delitos contra la familia,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0
6944,2015,6,Colima,6001,Armería,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7042,2015,6,Colima,6002,Colima,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7140,2015,6,Colima,6003,Comala,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7238,2015,6,Colima,6004,Coquimatlán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7336,2015,6,Colima,6005,Cuauhtémoc,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7434,2015,6,Colima,6006,Ixtlahuacán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7532,2015,6,Colima,6007,Manzanillo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7630,2015,6,Colima,6008,Minatitlán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7728,2015,6,Colima,6009,Tecomán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7826,2015,6,Colima,6010,Villa de Álvarez,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7924,2015,7,Chiapas,7001,Acacoyagua,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8022,2015,7,Chiapas,7002,Acala,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8120,2015,7,Chiapas,7003,Acapetahua,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8218,2015,7,Chiapas,7004,Altamirano,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8316,2015,7,Chiapas,7005,Amatán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8414,2015,7,Chiapas,7006,Amatenango de la Frontera,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8512,2015,7,Chiapas,7007,Amatenango del Valle,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8610,2015,7,Chiapas,7008,Angel Albino Corzo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8708,2015,7,Chiapas,7009,Arriaga,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8806,2015,7,Chiapas,7010,Bejucal de Ocampo,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8904,2015,7,Chiapas,7011,Bella Vista,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9002,2015,7,Chiapas,7012,Berriozábal,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9100,2015,7,Chiapas,7013,Bochil,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9198,2015,7,Chiapas,7014,El Bosque,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9296,2015,7,Chiapas,7015,Cacahoatán,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9394,2015,7,Chiapas,7016,Catazajá,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9492,2015,7,Chiapas,7017,Cintalapa,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9590,2015,7,Chiapas,7018,Coapilla,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9688,2015,7,Chiapas,7019,Comitán de Domínguez,Otros delitos contra la familia,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
