,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
81,2015,1,Aguascalientes,1001,Aguascalientes,Violencia familiar,Violencia familiar,18,36,24,24,28,28,35,38,47,53,40,39
179,2015,1,Aguascalientes,1002,Asientos,Violencia familiar,Violencia familiar,2,0,0,3,1,1,0,1,0,1,1,0
277,2015,1,Aguascalientes,1003,Calvillo,Violencia familiar,Violencia familiar,0,1,0,3,2,2,0,1,1,1,0,1
375,2015,1,Aguascalientes,1004,Cosío,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
473,2015,1,Aguascalientes,1005,Jesús María,Violencia familiar,Violencia familiar,3,1,0,1,0,2,0,2,0,1,1,0
571,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Violencia familiar,Violencia familiar,2,0,1,4,2,1,0,0,0,0,0,0
669,2015,1,Aguascalientes,1007,Rincón de Romos,Violencia familiar,Violencia familiar,2,1,0,1,1,1,1,0,0,0,1,0
767,2015,1,Aguascalientes,1008,San José de Gracia,Violencia familiar,Violencia familiar,0,0,0,1,0,1,0,0,0,0,0,0
865,2015,1,Aguascalientes,1009,Tepezalá,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,1,0,0,0
963,2015,1,Aguascalientes,1010,El Llano,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,1,0,0
1061,2015,1,Aguascalientes,1011,San Francisco de los Romo,Violencia familiar,Violencia familiar,2,2,1,4,1,2,1,1,1,1,0,0
1159,2015,2,Baja California,2001,Ensenada,Violencia familiar,Violencia familiar,35,36,33,39,31,34,30,36,26,46,40,21
1257,2015,2,Baja California,2002,Mexicali,Violencia familiar,Violencia familiar,163,193,256,252,241,254,273,257,236,226,192,152
1355,2015,2,Baja California,2003,Tecate,Violencia familiar,Violencia familiar,26,33,27,23,30,27,48,23,30,44,34,35
1453,2015,2,Baja California,2004,Tijuana,Violencia familiar,Violencia familiar,332,343,470,391,369,493,427,500,549,454,382,366
1551,2015,2,Baja California,2005,Playas de Rosarito,Violencia familiar,Violencia familiar,23,23,20,29,22,26,40,24,41,34,26,26
1649,2015,3,Baja California Sur,3001,Comondú,Violencia familiar,Violencia familiar,3,1,8,7,5,5,10,8,9,15,15,6
1747,2015,3,Baja California Sur,3002,Mulegé,Violencia familiar,Violencia familiar,2,8,10,6,2,8,6,10,3,13,4,1
1845,2015,3,Baja California Sur,3003,La Paz,Violencia familiar,Violencia familiar,47,45,58,63,44,66,46,43,64,48,52,46
1943,2015,3,Baja California Sur,3008,Los Cabos,Violencia familiar,Violencia familiar,68,65,89,65,64,60,77,61,84,62,92,89
2041,2015,3,Baja California Sur,3009,Loreto,Violencia familiar,Violencia familiar,3,0,5,1,1,4,3,2,2,3,3,1
2139,2015,4,Campeche,4001,Calkiní,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2237,2015,4,Campeche,4002,Campeche,Violencia familiar,Violencia familiar,0,0,0,1,0,1,0,0,0,1,0,0
2335,2015,4,Campeche,4003,Carmen,Violencia familiar,Violencia familiar,0,0,1,0,0,0,0,0,0,0,0,0
2433,2015,4,Campeche,4004,Champotón,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2531,2015,4,Campeche,4005,Hecelchakán,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2629,2015,4,Campeche,4006,Hopelchén,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2727,2015,4,Campeche,4007,Palizada,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2825,2015,4,Campeche,4008,Tenabo,Violencia familiar,Violencia familiar,0,0,1,0,0,0,0,0,0,0,0,1
2923,2015,4,Campeche,4009,Escárcega,Violencia familiar,Violencia familiar,1,0,0,0,0,0,0,0,0,0,0,0
3021,2015,4,Campeche,4010,Calakmul,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3119,2015,4,Campeche,4011,Candelaria,Violencia familiar,Violencia familiar,0,0,1,0,3,4,1,1,0,1,0,0
3217,2015,5,Coahuila de Zaragoza,5001,Abasolo,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3315,2015,5,Coahuila de Zaragoza,5002,Acuña,Violencia familiar,Violencia familiar,14,12,6,15,9,15,19,12,11,18,9,4
3413,2015,5,Coahuila de Zaragoza,5003,Allende,Violencia familiar,Violencia familiar,1,1,0,1,0,2,2,6,0,2,2,4
3511,2015,5,Coahuila de Zaragoza,5004,Arteaga,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,1,0
3609,2015,5,Coahuila de Zaragoza,5005,Candela,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
3707,2015,5,Coahuila de Zaragoza,5006,Castaños,Violencia familiar,Violencia familiar,4,2,2,13,7,9,3,4,3,4,2,0
3805,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Violencia familiar,Violencia familiar,0,0,0,1,2,0,0,0,2,0,0,0
3903,2015,5,Coahuila de Zaragoza,5008,Escobedo,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4001,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Violencia familiar,Violencia familiar,0,0,1,1,0,5,1,0,0,2,0,0
4099,2015,5,Coahuila de Zaragoza,5010,Frontera,Violencia familiar,Violencia familiar,18,20,17,14,11,17,24,17,41,24,18,1
4197,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4295,2015,5,Coahuila de Zaragoza,5012,Guerrero,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4393,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4491,2015,5,Coahuila de Zaragoza,5014,Jiménez,Violencia familiar,Violencia familiar,0,1,0,2,0,1,0,0,1,0,0,0
4589,2015,5,Coahuila de Zaragoza,5015,Juárez,Violencia familiar,Violencia familiar,0,0,0,0,1,0,0,0,0,0,0,0
4687,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4785,2015,5,Coahuila de Zaragoza,5017,Matamoros,Violencia familiar,Violencia familiar,1,1,0,0,0,1,1,2,0,0,0,0
4883,2015,5,Coahuila de Zaragoza,5018,Monclova,Violencia familiar,Violencia familiar,41,37,31,56,46,63,51,43,51,56,31,2
4981,2015,5,Coahuila de Zaragoza,5019,Morelos,Violencia familiar,Violencia familiar,0,0,0,1,0,1,0,0,0,0,0,0
5079,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Violencia familiar,Violencia familiar,6,10,17,9,15,16,21,15,14,7,8,3
5177,2015,5,Coahuila de Zaragoza,5021,Nadadores,Violencia familiar,Violencia familiar,0,0,0,0,0,1,2,1,1,0,0,0
5275,2015,5,Coahuila de Zaragoza,5022,Nava,Violencia familiar,Violencia familiar,1,2,1,4,2,1,2,2,2,5,1,0
5373,2015,5,Coahuila de Zaragoza,5023,Ocampo,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,1,0,0
5471,2015,5,Coahuila de Zaragoza,5024,Parras,Violencia familiar,Violencia familiar,2,2,1,0,1,0,1,0,0,1,0,2
5569,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Violencia familiar,Violencia familiar,36,34,39,57,51,48,70,60,50,56,37,42
5667,2015,5,Coahuila de Zaragoza,5026,Progreso,Violencia familiar,Violencia familiar,1,0,0,0,0,0,0,0,0,0,0,0
5765,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,1
5863,2015,5,Coahuila de Zaragoza,5028,Sabinas,Violencia familiar,Violencia familiar,10,10,7,12,11,13,18,19,18,8,6,7
5961,2015,5,Coahuila de Zaragoza,5029,Sacramento,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
6059,2015,5,Coahuila de Zaragoza,5030,Saltillo,Violencia familiar,Violencia familiar,1,3,4,1,2,1,6,1,0,1,0,0
6157,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Violencia familiar,Violencia familiar,0,0,0,1,1,5,2,5,2,1,2,0
6255,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Violencia familiar,Violencia familiar,3,0,6,10,7,11,6,8,8,7,1,3
